Reward,Demand_Satisfaction_Pct,Total_Deficit_Tonnes,Total_Surplus_Tonnes,Export_Revenue_EUR,Import_Cost_EUR,Net_Economic_EUR,Land_Utilization_Pct,Crop_Diversity_Index,Adverse_Weather_Ratio,Model,Seed
820393.872478299,33.33333333333333,23037.648964193035,256244020.39559865,81998086526.59157,6399278.761671543,81991687247.8299,33.33333333333333,2.1015654901674843,0.27102803738317754,DQN,41403
814022.7449731492,33.33333333333333,20219.400110143586,254254695.91858006,81361502693.94562,5528196.630709253,81355974497.31491,33.33333333333333,2.1015654901674843,0.3364485981308411,DQN,462
802906.6220606536,33.33333333333333,20797.713027715967,250784850.2577402,80251152082.47687,5789876.411497844,80245362206.06537,33.33333333333333,2.1015654901674843,0.38317757009345793,DQN,61266
821310.2330531628,33.33333333333333,20878.218818105226,256533021.76932064,82090566966.1826,5843660.866319099,82084723305.31628,33.33333333333333,2.1015654901674843,0.3364485981308411,DQN,90810
819106.8060780716,33.33333333333333,21421.285845135673,255840544.99415213,81868974398.12868,5993790.321511064,81862980607.80716,33.33333333333333,2.1015654901674843,0.27102803738317754,DQN,14080
822543.2452262377,33.33333333333333,21744.920931422235,256915300.24283683,82212896077.7078,6071555.084032102,82206824522.62376,33.33333333333333,2.1015654901674843,0.2803738317757009,DQN,24431
812450.2204978447,33.33333333333333,20452.71686652177,253762659.8086931,81204051138.7818,5729088.997333214,81198322049.78447,33.33333333333333,2.1015654901674843,0.3177570093457944,DQN,52701
824748.9608298062,33.33333333333333,20361.503365313893,257600243.83725935,82432078027.92299,5681944.942363177,82426396082.98062,33.33333333333333,2.1015654901674843,0.2336448598130841,DQN,53353
815092.707696039,33.33333333333333,20062.818196579567,254588049.3654136,81468175796.93236,5605027.3284679,81462570769.6039,33.33333333333333,2.1015654901674843,0.3177570093457944,DQN,42397
823833.3045719818,33.33333333333333,21561.369576537843,257320080.5334354,82342425770.69933,5995313.501149407,82336430457.19818,33.33333333333333,2.1015654901674843,0.308411214953271,DQN,14759
817653.8813502502,33.33333333333333,20643.614136507087,255390646.91988182,81725007014.36218,5718879.337152222,81719288135.02502,33.33333333333333,2.1015654901674843,0.34579439252336447,DQN,48374
821033.6902759421,33.33333333333333,20113.047697130358,256441402.9699075,82061248950.37039,5579922.776181277,82055669027.59421,33.33333333333333,2.1015654901674843,0.27102803738317754,DQN,50387
829682.9503756477,33.33333333333333,21718.031087477888,259145629.34750307,82926601391.20099,6006353.636213515,82920595037.56477,33.33333333333333,2.1015654901674843,0.27102803738317754,DQN,18427
813564.1160511456,33.33333333333333,20814.5007138718,254110426.65427405,81315336529.36769,5824924.253127614,81309511605.11456,33.33333333333333,2.1015654901674843,0.308411214953271,DQN,60804
828641.1329038822,33.33333333333333,21208.834239247844,258815281.33682725,82820890027.78471,5876737.396503183,82815013290.38821,33.33333333333333,2.1015654901674843,0.205607476635514,DQN,86622
822093.1523847355,33.33333333333333,20018.597342399837,256772939.539917,82167340652.77344,5525414.299878001,82161815238.47356,33.33333333333333,2.1015654901674843,0.2803738317757009,DQN,8704
807516.2270919769,33.33333333333333,21016.542302955837,252222908.63071474,80711330761.82872,5808052.6310233185,80705522709.1977,33.33333333333333,2.1015654901674843,0.34579439252336447,DQN,7997
829692.802467983,33.33333333333333,20906.646531290367,259146277.3343636,82926808746.99635,5828500.198063826,82920980246.7983,33.33333333333333,2.1015654901674843,0.24299065420560748,DQN,56717
821469.2249635368,33.33333333333333,20403.837840793727,256577849.60562176,82104911873.79897,5689377.445278633,82099222496.35368,33.33333333333333,2.1015654901674843,0.27102803738317754,DQN,78120
812961.8493671748,33.33333333333333,22280.89825525834,253923847.02342096,81255631047.4947,6146110.777223995,81249484936.71748,33.33333333333333,2.1015654901674843,0.3177570093457944,DQN,10222
815743.8104286798,33.33333333333333,21261.95560396785,254793947.82027203,81534063302.48705,5982259.619069421,81528081042.86798,33.33333333333333,2.1015654901674843,0.3364485981308411,DQN,94412
828317.4713843608,33.33333333333333,20680.827808574904,258716090.76192912,82789149043.81732,5701905.381247477,82783447138.43608,33.33333333333333,2.1015654901674843,0.24299065420560748,DQN,47685
795988.4706947908,33.33333333333333,21865.784294770983,248623775.3116692,79559608099.73415,6061030.2550711585,79553547069.47908,33.33333333333333,2.1015654901674843,0.38317757009345793,DQN,10633
801311.3610631715,33.33333333333333,19494.484256827433,250285838.70399714,80091468385.27908,5432278.9619318675,80086036106.31715,33.33333333333333,2.1015654901674843,0.3925233644859813,DQN,44726
820972.8537585889,33.33333333333333,20623.598641057608,256422355.716698,82055153829.34335,5768453.484470714,82049385375.85889,33.33333333333333,2.1015654901674843,0.2616822429906542,DQN,43368
821879.3213081491,33.33333333333333,21062.578259453818,256703902.48075214,82145248793.84068,5816663.025767573,82139432130.81491,33.33333333333333,2.1015654901674843,0.2336448598130841,DQN,39033
804536.4790520277,33.33333333333333,20493.139680049782,251293924.7579077,80414055922.53046,5708017.327675675,80408347905.20277,33.33333333333333,2.1015654901674843,0.38317757009345793,DQN,58495
819078.5024817497,33.33333333333333,22002.201792698383,255830750.16308194,81865840052.18622,6089804.011248542,81859750248.17497,33.33333333333333,2.1015654901674843,0.2523364485981308,DQN,24669
817539.4714694775,33.33333333333333,20480.887720720428,255352086.88656586,81712667803.70108,5620656.753323097,81707047146.94775,33.33333333333333,2.1015654901674843,0.308411214953271,DQN,99133
815400.9488606874,33.33333333333333,21829.740520360065,254688817.00677377,81500421442.1676,6026556.098867367,81494394886.06874,33.33333333333333,2.1015654901674843,0.3644859813084112,DQN,28580
814804.8162897628,33.33333333333333,21015.48669234415,254496331.9752521,81438826232.08067,5844603.104384463,81432981628.97629,33.33333333333333,2.1015654901674843,0.2803738317757009,DQN,86538
810810.7365116277,33.33333333333333,23124.06121191412,253256996.81764424,81042238981.64615,6465330.483376329,81035773651.16277,33.33333333333333,2.1015654901674843,0.38317757009345793,DQN,81862
803440.7903891767,33.33333333333333,20673.768260030716,250951514.62449706,80304484679.83905,5705640.921386569,80298779038.91766,33.33333333333333,2.1015654901674843,0.38317757009345793,DQN,41422
825530.4890510482,33.33333333333333,20813.216579148517,257844073.15178436,82510103408.571,5754503.466187309,82504348905.10481,33.33333333333333,2.1015654901674843,0.22429906542056074,DQN,19284
815641.2604335606,33.33333333333333,20555.323396420972,254761069.03695723,81523542091.82631,5716048.470244353,81517826043.35606,33.33333333333333,2.1015654901674843,0.3364485981308411,DQN,96791
813965.1307694663,33.33333333333333,20626.778992205254,254235522.9851445,81355367355.24625,5754278.299619848,81349613076.94662,33.33333333333333,2.1015654901674843,0.308411214953271,DQN,57290
813343.4545701239,33.33333333333333,20888.997607043268,254038207.53058454,81292226409.78705,5780952.774657139,81286445457.01239,33.33333333333333,2.1015654901674843,0.2616822429906542,DQN,33126
821987.0771468703,33.33333333333333,21278.676549853,256741035.0266151,82157131208.51683,5923493.82980971,82151207714.68703,33.33333333333333,2.1015654901674843,0.2803738317757009,DQN,15096
815400.1519810483,33.33333333333333,22533.056530668513,254685442.7276191,81499341672.83812,6226474.733289062,81493115198.10483,33.33333333333333,2.1015654901674843,0.308411214953271,DQN,33999
798990.9627363788,33.33333333333333,21575.50679771873,249560086.47113684,79859227670.7638,6031397.125917462,79853196273.63788,33.33333333333333,2.1015654901674843,0.35514018691588783,DQN,65224
817983.9725959569,33.33333333333333,20581.224175015333,255489389.52025625,81756604646.482,5707386.886303721,81750897259.59569,33.33333333333333,2.1015654901674843,0.2803738317757009,DQN,50625
824693.3683161854,33.33333333333333,22041.0666253163,257584793.07708228,82427133784.66632,6096953.0477681365,82421036831.61855,33.33333333333333,2.1015654901674843,0.24299065420560748,DQN,6662
797647.9654643955,33.33333333333333,19638.29218599234,249141243.41905853,79725197894.09872,5501347.6591771785,79719696546.43954,33.33333333333333,2.1015654901674843,0.3925233644859813,DQN,77957
810759.5896628253,33.33333333333333,22129.193897730474,253235525.46565285,81035368149.00891,6109182.72637617,81029258966.28253,33.33333333333333,2.1015654901674843,0.3177570093457944,DQN,32127
815589.0333874994,33.33333333333333,21412.90813654656,254742312.04974556,81517539855.91858,5936517.168634655,81511603338.74994,33.33333333333333,2.1015654901674843,0.2897196261682243,DQN,19216
812941.9542344896,33.33333333333333,21674.761445194737,253918533.64880428,81253930767.61737,6035344.16840777,81247895423.44896,33.33333333333333,2.1015654901674843,0.3364485981308411,DQN,69973
814158.2114346578,33.33333333333333,21085.666244433993,254296797.00945172,81374975043.02455,5853899.558777716,81369121143.46577,33.33333333333333,2.1015654901674843,0.3177570093457944,DQN,74246
812084.2216108033,33.33333333333333,21203.028002683743,253650426.58693245,81168136507.81839,5814346.738072906,81162322161.08032,33.33333333333333,2.1015654901674843,0.34579439252336447,DQN,82185
819494.4997887703,33.33333333333333,20788.706074500064,255961065.65440986,81907541009.41115,5791030.534111544,81901749978.87703,33.33333333333333,2.1015654901674843,0.27102803738317754,DQN,270
820601.8893386205,33.33333333333333,22257.188178236473,256308927.64944753,82018856847.82321,6167913.961160849,82012688933.86205,33.33333333333333,2.1015654901674843,0.2803738317757009,DQN,38732
823719.7127461663,33.33333333333333,22100.48479707221,257284311.31160942,82330979619.71501,6108345.09839445,82324871274.61662,33.33333333333333,2.1015654901674843,0.29906542056074764,DQN,26247
810793.5344169961,33.33333333333333,20295.546696252324,253247164.7088181,81039092706.8218,5639265.122192304,81033453441.6996,33.33333333333333,2.1015654901674843,0.35514018691588783,DQN,58063
824363.981214406,33.33333333333333,21389.566672539797,257485705.29336542,82395425693.87694,5927572.436334664,82389498121.4406,33.33333333333333,2.1015654901674843,0.308411214953271,DQN,97446
821759.9954585613,33.33333333333333,20664.44846509857,256669953.3170025,82134385061.4408,5685515.584662598,82128699545.85614,33.33333333333333,2.1015654901674843,0.2897196261682243,DQN,11981
821945.871867001,33.33333333333333,22225.947723937483,256729411.08735406,82153411547.95331,6124361.253205036,82147287186.7001,33.33333333333333,2.1015654901674843,0.2897196261682243,DQN,65646
817925.3808078836,33.33333333333333,22266.78954320525,255472458.8914207,81751186845.25462,6148764.466255704,81745038080.78836,33.33333333333333,2.1015654901674843,0.2803738317757009,DQN,44441
816154.3036976969,33.33333333333333,20439.30496963622,254918094.03594622,81573790091.50279,5659721.73311434,81568130369.76968,33.33333333333333,2.1015654901674843,0.2897196261682243,DQN,46256
826131.470348752,33.33333333333333,20123.67844541712,258030171.9376102,82569655020.03526,5607985.160064742,82564047034.8752,33.33333333333333,2.1015654901674843,0.205607476635514,DQN,94181
