region,year,eurostat_crop_category,production_structure,eurostat_area_thousand_ha,region_normalised,eurostat_area_ha
Hauts-de-France,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1088.03,hauts-de-france,1088030.0
Hauts-de-France,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1074.04,hauts-de-france,1074040.0
Hauts-de-France,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1037.96,hauts-de-france,1037960.0
Hauts-de-France,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1031.3,hauts-de-france,1031300.0
Hauts-de-France,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1061.83,hauts-de-france,1061830.0
Hauts-de-France,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1033.69,hauts-de-france,1033690.0
Hauts-de-France,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1083.06,hauts-de-france,1083060.0
Hauts-de-France,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1052.96,hauts-de-france,1052960.0
Hauts-de-France,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1033.84,hauts-de-france,1033839.9999999999
Hauts-de-France,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,991.12,hauts-de-france,991120.0
Grand Est,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1374.09,grand est,1374090.0
Grand Est,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1365.91,grand est,1365910.0
Grand Est,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1397.97,grand est,1397970.0
Grand Est,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1332.77,grand est,1332770.0
Grand Est,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1380.36,grand est,1380360.0
Grand Est,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1321.83,grand est,1321830.0
Grand Est,2021,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1405.96,grand est,1405960.0
Grand Est,2022,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1350.98,grand est,1350980.0
Grand Est,2023,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1302.46,grand est,1302460.0
Grand Est,2024,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,1305.06,grand est,1305060.0
Pays de la Loire,2015,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,719.37,pays de la loire,719370.0
Pays de la Loire,2016,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,708.62,pays de la loire,708620.0
Pays de la Loire,2017,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,690.02,pays de la loire,690020.0
Pays de la Loire,2018,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,674.91,pays de la loire,674910.0
Pays de la Loire,2019,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,677.08,pays de la loire,677080.0
Pays de la Loire,2020,Cereals for the production of grain (including seed),Area (sown/harvested/production) - thousand hectares,638.72,pays de la loire,638720.0
